800516: 6448008;6355910
800450: 6355245;6355228;6356266;6356067;6355218
800452: 7482284;6354997;6354915;6704283;6357028;6703056;6355000;6704820;6704785;6704812;6704811;6357027;6704285;6704821;6356606;6704284;6354998;6355677;6357031;6356837;6356607;7482284
913414: 7835523;7835448
800458: 6345438;6345535;6345117;6345537;6345526;6345432;6345435;6345434;6345531;6344979;6345429;6345428;6345543;6345440;6345418;6345426;6344531;6345527;6345541;6344678;6344800;6344972;6345119;6344899;6345433;6345425;6345534;6344980;6345436;6345528;6327850;6345540
800954: 6359475;6920864;6920908;6919924;6919916;6919910;6919897;6920871;6919734;6919919;6920860;6920853;6919414;6920846;6920874;6919407;6920772;6919908;6920911;6919733;6920856;6920769;6919913;6920904
800955: 7595829;6359678;6355227;6357694;6355208;6359691;6355243;6357691;6359668;6359666;6359677;6357704;6357692;6357711;6359667;7595829
800956: 6339803;6337152;6337155;6337166;6336911;6337157;6336912;6337156;6336753;6337158;6337161;6336808;6336913;6337165;6337123;6337131;6337226;6336845;6337129;6337160;6337107;6337124;6337162;6337164;6337221;6336910;6337154;6337132;6337153;6337200;6337247;6337108;6337168;6337206;6337220;6344909;6344929;6344918;6344919;6345106;6344912;6344913;6344927;6344921;6344926;6345100;6345101;6344923;6345018;6345109;6345114;6345323;6344914;6344932;6345098;6344916;6345020;6345075;6345326;6345328;6344924;6344925;6345324;6345022;6345074;6345099;6345112;6344915;6344922;6344910;6344931;6345021;6345102;6344920;6345019;6345108;6345115;6345327;6344930;6345103;6345111;6345325;6345104;6345107;6345116
800951: 7888469;7649620;7482279;7311345;6354981;6354982;6354979;6354980;6359535;6889579;6890853;7482279
800952: 7927681;7927982;6336640;6343826;6343654;6343653;6343825;6343832;6343650;6343655;6343536;6343649;6344170;6344611;6343827;6344169;6446855;6344171;6344168
800953: 7541305;7482565;6354929;6356898;6704205;6359728;6704544;6359727;6356204;7482565;7541305
800894: 6355855;6355896
800521: 6357565
800934: 7482785;6344128;6344815;6346067;7482785
800892: 6337443;6337445;6337444;6337514;6337482;6337484;6337483;6337513;6345549;6345548;6345551;6346214;6345544;6345546;6346184;6346183;6345545;6345547;6346215;6346211;6346182;6346185;6346212;6346216
800887: 7927548;7927589;7927564;7927557;7927541;7888451;7888485;7888277;6354870;6360173;6356038;6357052;6360176;6360172;6354869;6357056;6357675;6359615;6360175;6360168
816111: 6337454;6336792;6337442
865049: 6356358;6356357;6356357;6356358
865048: 6356218;6356309;6356308;6356170;6359754;6356311;6359753;6359883;6359713;6359885;6359884;6356195;6356485;6356194;6359884;6359885;6356195;6359883;6356311;6356218;6359754;6356194;6356170;6356309;6356485;6356308;6359753;6359713
865047: 7926584;7725665;7725664;7725471;6356154;6356187;6356288;6354969;6356189;6354960;6354962;6356195;6703746;6356170;6356172;6356173;6356174;6359710;6359713;6356466;6359765;6356370;6356468;6359653;6359714;6356192;6356218;6356190;6356191;6359836;6359837;6356213;6356568;6356216;6356526;6359598;6356217;6354872;6357460;6355796;6357058;7176713;6359885;7176738;6359847;6359841;6359842;6356523;6356047;6356521;6357224;6357223;6357222;6357051;6356528;6355797;6354861;6354862;6356888;6356357;6356358;6356556;6356887;6356554;6359754;6359751;6359750;6359753;6359752;6356889;6359854;6356185;6359597;6359596;6359595;6359594;6356235;6359591;6359590;6356285;6356282;6356283;7176739;6356281;6356439;6359602;6359600;6359609;6359608;6356242;6356309;6356308;6356307;6356977;6356978;6356979;6356194;6359584;6359586;6359587;6357082;6357081;6356871;6356873;6356872;6359588;6354957;6359610;6359611;6359612;6356239;6359618;6359619;6356236;6356314;6356315;6356311;6356312;6356313;6356532;6359878;6359879;6356533;6356983;6359592;6356469;6357232;6357257;6354958;6356552;6356553;6356551;6356224;6356225;6356226;6356555;6356558;6356559;6356369;6356368;6356241;6356246;6356244;6356245;6356361;6356360;6356193;6356362;6356367;6356485;6356168;6356163;6356162;6356161;6356160;6356167;6356166;6356165;6356164;6359881;6357077;6359883;6359882;6356471;6359884;6359886;6359889;6359888;6354874;6357078;6356486;6446963;6446960;6446966;6356159;6356156;6356157;6359880;6356919;7176740;6359775;6359772;6359770;6356563;6356562;6356560;6356522;6357288;6703731;7239625;7239829;7239828;6356527;6356372;6356169;6356159;6446966;6356485;6356872;6356281;6359596;6356887;6356217;6356466;6703746;6354874;6359881;7239625;6356919;6356244;6359609;6359602;6356283;6356889;6359750;6356358;6354861;6359598;6356167;6359775;6356246;6359619;6356871;6359584;6356282;6359590;6357460;6356213;6356218;6357078;6356224;6354957;6356235;6359847;6359885;6356192;6359713;6356189;6356288;6356533;6359878;6356311;6359586;6356979;6359608;6359600;6356554;6356556;6356357;6357223;6356523;6354960;6356187;6359882;6356160;6356372;6703731;6356522;6356362;6356369;6359888;6356162;6356169;6359772;6356191;6359714;6359765;6356174;6356172;6356157;6356225;6356313;6356236;6359618;6356239;6356978;6359841;6356216;6359854;6356526;6356568;6359884;6357077;6356166;6356163;6356527;6356560;6446963;6356361;6356552;6356285;6359595;6359889;6359883;6356161;7239829;6356226;6356977;6356185;6354862;6356521;6359842;7176713;6359710;7239828;6356360;6354958;6359879;6359588;6359587;6356439;7176738;6354969;6359886;6356312;6359611;6359752;6355797;6357222;6356190;6356170;6356154;6356553;6356983;6359610;6359594;6359597;6359751;6357051;6356471;6359770;6356368;6356532;6356314;6359612;6356308;7176739;6359753;6359754;6357224;6357058;7176740;6359880;6356367;6356193;6356555;6356551;6356469;6356242;6356888;6354872;6359836;6356195;6356168;6357288;6356562;6446960;6357232;6356165;6356241;6356558;6356873;6357081;6356194;6356307;6356309;6355796;6359837;6356173;6356164;6356563;6356156;6356486;6356245;6356559;6357257;6359592;6356315;6357082;6359591;6356528;6356047;6359653;6356468;6356370;6354962
800932: 7835311;7835524;7835525;6357192;6703186
800503: 6355315;6355312;6356086;6356088;6355319;6355310;6355316;6356083;6356091;6355317;6355311;6356089;6355323;6355320;6355314
800502: 6360127;6360125;6357251;6359485;6355319;6355219;6356958;6355220;6355323;6355320;6356089;6355317;6356091;6355311;6357244;6356959;6356956;6357256;6355310;6356957;6360126;6355314;6357245;6355315;6356088;6355316;6355312;6357248;6356083;6357250;6356479;6356481;6357246;6356480;6356086
800501: 7926574;7926783;7926571;6327773;6327774;6327790;6346469;6327752;6346662;6346650;6346664
800500: 7482786;7482335;7482382;7482382;7482786;7482335
800507: 7725776;7649852;7192751;7649936;7649850;7649851;7649793;7182585;7179335;7179333;6357719;6357714;6355077;6355083;6355086;6525213;6525175;7089848;7089849;7089847;6525218;6357720;6525180;6525189;6357713;6355087;6357732;6355897;6355076
800506: 7725776;7192751;7649909;7649793;7649904;7649851;7649850;7649852;7649699;7649795;7649936;7182585;7179184;7179335;7179333;7179316;7179180;7179179;7179177;6356827;6356830;6356826;6356829;6357366;6356831;7089849;7089848;7089847;6525208;6447997;6447993;6525199;6357715;6525180;6357717;6525220;6357732;6356828;6525197;6355087;6525205;6525213;6355897;6525183;6356629;6525233;6525201;6525202;6525226;6525189;6357714;6357713;6525222;6357727;6525214;6525218;6525196;6447994;6447996;6356028;6357720;6355076;6525193;6525216;6357719;6356818;6355083;6357718;6525223;6357729;6525204;6525215;6355086;6355077;6525175;6359776;6525232;6525212
800849: 6355212;6355223;6355212
800509: 6357566;6525230;6355589;6894693;6357566;6525230
